timestamp, name, index, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W]
2022/11/17 17:49:40.782, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.33 W
2022/11/17 17:49:41.784, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.62 W
2022/11/17 17:49:41.785, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.37 W
2022/11/17 17:49:42.787, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.68 W
2022/11/17 17:49:42.788, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.51 W
2022/11/17 17:49:43.789, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.37 W
2022/11/17 17:49:43.790, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.39 W
2022/11/17 17:49:44.792, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.48 W
2022/11/17 17:49:44.793, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.44 W
2022/11/17 17:49:45.795, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.60 W
2022/11/17 17:49:45.795, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.36 W
2022/11/17 17:49:46.797, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.49 W
2022/11/17 17:49:46.798, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.35 W
2022/11/17 17:49:47.800, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.57 W
2022/11/17 17:49:47.801, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.60 W
2022/11/17 17:49:48.803, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.51 W
2022/11/17 17:49:48.803, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.50 W
2022/11/17 17:49:49.805, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.46 W
2022/11/17 17:49:49.806, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.38 W
2022/11/17 17:49:50.808, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.72 W
2022/11/17 17:49:50.809, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.38 W
2022/11/17 17:49:51.811, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.56 W
2022/11/17 17:49:51.812, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.62 W
2022/11/17 17:49:52.814, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.35 W
2022/11/17 17:49:52.814, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.62 W
2022/11/17 17:49:53.816, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.64 W
2022/11/17 17:49:53.817, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.53 W
2022/11/17 17:49:54.819, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.68 W
2022/11/17 17:49:54.820, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.17 W
2022/11/17 17:49:55.822, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.40 W
2022/11/17 17:49:55.822, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.51 W
2022/11/17 17:49:56.824, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.53 W
2022/11/17 17:49:56.825, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.59 W
2022/11/17 17:49:57.827, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.65 W
2022/11/17 17:49:57.828, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.28 W
2022/11/17 17:49:58.830, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.52 W
2022/11/17 17:49:58.830, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.34 W
2022/11/17 17:49:59.832, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.52 W
2022/11/17 17:49:59.833, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.54 W
2022/11/17 17:50:00.835, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.60 W
2022/11/17 17:50:00.836, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.44 W
2022/11/17 17:50:01.838, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.55 W
2022/11/17 17:50:01.839, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.73 W
2022/11/17 17:50:02.840, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.48 W
2022/11/17 17:50:02.841, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.57 W
2022/11/17 17:50:03.843, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.72 W
2022/11/17 17:50:03.844, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.27 W
2022/11/17 17:50:04.846, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.57 W
2022/11/17 17:50:04.847, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.45 W
2022/11/17 17:50:05.849, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.35 W
2022/11/17 17:50:05.849, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.33 W
2022/11/17 17:50:06.851, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.64 W
2022/11/17 17:50:06.852, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.05 W
2022/11/17 17:50:07.854, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.67 W
2022/11/17 17:50:07.855, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.37 W
2022/11/17 17:50:08.857, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.35 W
2022/11/17 17:50:08.858, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.42 W
2022/11/17 17:50:09.859, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.51 W
2022/11/17 17:50:09.860, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.11 W
2022/11/17 17:50:10.862, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.65 W
2022/11/17 17:50:10.863, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.21 W
2022/11/17 17:50:11.865, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.47 W
2022/11/17 17:50:11.866, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.35 W
2022/11/17 17:50:12.868, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.57 W
2022/11/17 17:50:12.868, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.23 W
2022/11/17 17:50:13.870, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.52 W
2022/11/17 17:50:13.871, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.30 W
2022/11/17 17:50:14.873, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.44 W
2022/11/17 17:50:14.874, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.25 W
2022/11/17 17:50:15.876, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.68 W
2022/11/17 17:50:15.876, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.23 W
2022/11/17 17:50:16.878, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.54 W
2022/11/17 17:50:16.879, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.48 W
2022/11/17 17:50:17.881, NVIDIA GeForce RTX 3090, 0, 0 %, 24265 MiB, 0 MiB, 25.34 W
2022/11/17 17:50:17.882, NVIDIA GeForce RTX 3090, 1, 0 %, 24268 MiB, 0 MiB, 26.39 W
